operator,financial_period,number_of_stops,on_time_percentage
,2024-25 Period 07,"650,192",71.5
,2024-25 Period 08,"630,184",70.3
,2024-25 Period 09,"629,632",66
,2024-25 Period 10,"587,437",72.3
,2024-25 Period 11,"611,253",69.3
,2024-25 Period 12,"620,938",73.2
,2024-25 Period 13,"684,841",72.2
Lumo,2022-23 Period 01,"1,198",65.3
,2022-23 Period 02,"1,141",59.2
,2022-23 Period 03,"1,143",57.9
,2022-23 Period 04,"1,155",59.1
,2022-23 Period 05,"1,132",53
,2022-23 Period 06,"1,188",54.9
,2022-23 Period 07,764,60.2
,2022-23 Period 08,"1,147",51.6
,2022-23 Period 09,"1,104",45.7
,2022-23 Period 10,902,49.7
,2022-23 Period 11,"1,122",53.5
,2022-23 Period 12,"1,073",57
,2022-23 Period 13,"1,187",55.3
,2023-24 Period 01,"1,286",58.9
,2023-24 Period 02,"1,202",62.6
,2023-24 Period 03,"1,204",55.9
,2023-24 Period 04,"1,219",60
,2023-24 Period 05,"1,251",62
,2023-24 Period 06,"1,170",58.5
,2023-24 Period 07,"1,090",55.3
,2023-24 Period 08,"1,147",34.4
,2023-24 Period 09,"1,150",48.5
,2023-24 Period 10,"1,070",45.1
,2023-24 Period 11,"1,165",57.5
,2023-24 Period 12,"1,121",63
,2023-24 Period 13,"1,250",63.2
,2024-25 Period 01,"1,200",59.2
,2024-25 Period 02,"1,240",59
,2024-25 Period 03,"1,249",59.4
,2024-25 Period 04,"1,240",59
,2024-25 Period 05,"1,235",62.4
,2024-25 Period 06,"1,186",59.3
,2024-25 Period 07,"1,037",57.8
,2024-25 Period 08,"1,149",57.6
,2024-25 Period 09,"1,192",49.9
,2024-25 Period 10,"1,158",51.6
,2024-25 Period 11,"1,124",55.8
,2024-25 Period 12,977,64.8
,2024-25 Period 13,"1,107",59.3
Merseyrail,2022-23 Period 01,"262,436",76.9
,2022-23 Period 02,"278,974",69
,2022-23 Period 03,"212,747",69.3
,2022-23 Period 04,"270,716",71.7
,2022-23 Period 05,"250,193",67.2
,2022-23 Period 06,"278,399",76.8
,2022-23 Period 07,"257,271",76.9
,2022-23 Period 08,"268,318",75.1
,2022-23 Period 09,"269,279",73.5
,2022-23 Period 10,"178,203",76.5
,2022-23 Period 11,"256,226",73.3
,2022-23 Period 12,"263,208",76.9
,2022-23 Period 13,"256,366",76.1
,2023-24 Period 01,"282,144",75.3
,2023-24 Period 02,"268,046",73.3
,2023-24 Period 03,"277,103",73.7
,2023-24 Period 04,"265,497",73.9
,2023-24 Period 05,"260,333",71.5
,2023-24 Period 06,"262,329",70.7
,2023-24 Period 07,"255,339",68.7
,2023-24 Period 08,"260,360",70.8
,2023-24 Period 09,"258,133",66.6
,2023-24 Period 10,"232,764",68.8
,2023-24 Period 11,"258,892",68.1
