textbox22,textbox24,financial_period_key,national_or_operator,trains_planned,trains_part_cancelled1,trains_full_cancelled,cancellation_score__number_,nr_responsible_infrastructure,nr_responsible_external_event,toc_responsible_toc_fault,toc_responsible_external_event,percent_cancelled_periodic,percent_cancelled_periodic__maa_
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 12),England and Wales,"526,821","11,193","11,691","17,288","5,268","2,700","8,472",847,3.3,4.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 13),England and Wales,"561,564","11,335","11,497","17,165","4,955","3,288","8,247",675,3.1,4.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 01),Scotland,"54,773",419,968,"1,178",206,255,654,63,2.1,2.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 02),Scotland,"47,773",503,"1,362","1,614",308,83,"1,175",48,3.4,3.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 03),Scotland,"33,122",309,457,612,179,118,292,22,1.8,3.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 04),Scotland,"39,992",337,532,701,129,198,345,27,1.8,2.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 05),Scotland,"48,746",539,"1,064","1,334",327,326,641,40,2.7,2.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 06),Scotland,"55,810",442,927,"1,148",204,423,483,38,2.1,2.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 07),Scotland,"49,918",642,"1,069","1,390",198,412,747,32,2.8,2.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 08),Scotland,"49,768",756,"2,009","2,387",753,491,"1,109",33,4.8,3.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 09),Scotland,"55,467",645,"1,644","1,967",419,649,822,77,3.5,2.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 10),Scotland,"31,736",630,"2,689","3,004",339,"1,382",815,468,9.5,3.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 11),Scotland,"55,622",534,754,"1,021",346,133,450,92,1.8,3.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 12),Scotland,"56,325",443,758,980,349,188,412,30,1.7,3.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 13),Scotland,"53,557",503,849,"1,101",307,192,507,95,2.1,2.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 01),Scotland,"57,404",509,756,"1,011",277,241,426,67,1.8,2.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 02),Scotland,"55,483",477,804,"1,043",243,225,506,68,1.9,2.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 03),Scotland,"55,472",623,"1,033","1,345",307,375,603,59,2.4,2.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 04),Scotland,"53,786",372,549,735,154,141,398,42,1.4,2.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 05),Scotland,"54,823",498,723,972,208,182,525,56,1.8,2.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 06),Scotland,"55,499",452,976,"1,202",317,183,655,47,2.2,2.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 07),Scotland,"53,965",690,"1,825","2,170",645,953,488,84,4.0,2.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 08),Scotland,"53,704",745,"1,557","1,930",376,887,626,41,3.6,2.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 09),Scotland,"55,141",583,935,"1,227",321,288,541,76,2.2,2.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 10),Scotland,"48,766",694,"1,473","1,820",390,752,639,38,3.7,2.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 11),Scotland,"51,523",643,"1,324","1,646",331,742,459,114,3.2,2.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 12),Scotland,"56,924",439,584,804,242,129,333,99,1.4,2.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 13),Scotland,"58,091",397,584,783,303,90,337,53,1.3,2.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 01),Scotland,"55,665",509,787,"1,042",155,404,445,37,1.9,2.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 02),Scotland,"57,062",366,713,896,351,118,397,30,1.6,2.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 03),Scotland,"57,445",387,785,979,269,142,450,119,1.7,2.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 04),Scotland,"49,814",484,"1,282","1,524",232,190,"1,031",71,3.1,2.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 05),Scotland,"41,696",328,569,733,116,123,460,34,1.8,2.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 06),Scotland,"42,278",315,470,628,221,47,328,29,1.5,2.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 07),Scotland,"45,781",372,438,624,141,104,333,46,1.4,2.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 08),Scotland,"58,202",719,"1,115","1,475",352,355,651,115,2.5,2.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 09),Scotland,"58,039",725,"1,334","1,697",494,401,704,98,2.9,2.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 10),Scotland,"50,652",643,"1,257","1,579",504,233,735,106,3.1,2.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 11),Scotland,"52,244",588,"1,003","1,297",381,329,466,122,2.5,2.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 12),Scotland,"56,816",508,633,887,231,118,481,56,1.6,2.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 13),Scotland,"59,761",403,669,871,238,193,410,30,1.5,2.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 01),Avanti West Coast,"6,453",121,327,388,48,34,301,5,6.0,4.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 02),Avanti West Coast,"6,324",142,344,415,32,67,313,4,6.6,4.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 03),Avanti West Coast,"5,949",147,494,568,124,3,435,6,9.5,5.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 04),Avanti West Coast,"6,432",288,899,"1,043",119,125,711,87,16.2,6.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 05),Avanti West Coast,"5,229",236,662,780,48,65,661,2,14.9,6.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 06),Avanti West Coast,"4,774",121,247,308,31,21,251,4,6.4,7.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 07),Avanti West Coast,"4,528",185,241,334,38,47,246,3,7.4,7.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 08),Avanti West Coast,"4,535",162,272,353,53,32,255,12,7.8,8.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 09),Avanti West Coast,"4,766",203,339,441,82,33,320,4,9.2,8.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 10),Avanti West Coast,"4,096",250,648,773,182,64,524,2,18.9,8.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 11),Avanti West Coast,"6,117",211,536,642,87,108,445,1,10.5,9.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 12),Avanti West Coast,"7,015",168,282,366,50,29,283,5,5.2,9.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 13),Avanti West Coast,"6,181",97,103,152,52,12,86,2,2.5,9.1
